"Archived - Lumber, production, shipments and stocks, monthly, inactive (x 1,000) 1 2"
"Frequency: Monthly"
"Table: 16-10-0045-01 (formerly CANSIM 303-0064)"
"Release date: 2020-05-26"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard Classification of Goods (SCG)","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018"
"Spruce, pine and fir, stocks","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5,458.3r","5,604.2r","5,704.5r","5,649.7r","5,588.0r","5,681.6r","5,170.3r","5,089.4r","5,306.7r","5,246.3r","5,252.6r","5,364.3r","5,747.1r","6,015.5r","6,225.0r","6,245.4r","6,309.0r","6,201.3r","5,545.3r","5,374.2r","5,305.6r","5,438.1r","5,532.2r","5,711.8r","6,041.6r","6,526.6r","7,140.5r","7,259.8r","6,782.9r","6,254.2r","5,905.1r","5,662.1r","5,685.7r","5,561.5r","5,645.4r","5,694.1r","5,968.1r","6,231.8r","6,385.1r","6,620.9r","6,471.9r","6,231.5r","6,163.3r","6,334.4r","6,413.7r","6,140.3r","6,231.7r","6,266.9r","6,442.3r","6,438.7r","6,457.1r","6,637.6r","6,523.1r","6,062.5r","5,851.5r","5,864.9r","5,905.4r","5,839.3r","5,806.5r","5,774.6r","6,058.0r","6,184.6r","6,385.8r","6,260.9r","6,373.5r","6,287.9r","6,029.9r","5,967.2r","6,052.7r","6,150.2r","6,290.1r","6,448.6r","6,917.9r","7,198.7r","7,623.1r","7,658.9r","7,360.4r","7,163.0r","6,929.7r","6,562.3r","6,519.2r","6,736.0r","6,504.4r","6,611.8r"
"Total softwood excluding spruce, pine and fir, stocks 5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","661.2r","647.4r","585.3r","626.6r","665.6r","588.1r","638.7r","626.3r","610.4r","618.7r","607.2r","512.9r","574.7r","574.1r","524.5r","641.8r","621.4r","589.6r","593.9r","607.6r","627.0r","663.0r","671.9r","587.5r","669.6r","653.0r","690.9r","692.3r","757.0r","764.0r","777.8r","773.8r","683.2r","710.5r","683.8r","605.5r","630.2r","645.0r","676.7r","682.4r","703.5r","751.6r","802.6r","775.4r","644.1r","646.5r","646.3r","605.6r","632.7r","695.9r","753.5r","717.2r","795.5r","744.3r","714.4r","680.8r","634.4r","687.4r","728.0r","628.9r","632.4r","651.7r","690.3r","680.9r","677.9r","725.9r","765.2r","696.6r","591.5r","614.3r","696.5r","631.4r","668.7r","697.2r","749.9r","799.5r","830.5r","808.0r","813.3r","868.9r","908.1r","869.0r","919.3r","783.6r"

Symbol legend:
.., not available for a specific reference period
r, revised
F, too unreliable to be published




Footnotes:
1,"All values in this table are rounded to thousand of cubic meters. Therefore, 0.0 quantities do not necessarily mean that there is no economic activity taking place."
2,"This table has been archived and replaced by table 16-10-0017.
"
3,"This combines Standard Classification of Goods (SCG) codes 4407.10 and 4407.90"
4,"Total softwood includes: spruce, pine, fir, douglas fir, western larch, western hemlock, amabilis fir, sitka spruce, western red cedar, yellow cedar and all other softwood not elsewhere specified."
5,"This combines Standard Classification of Goods (SCG) codes 4407.10 excluding code 4407.10.31"



"How to cite: Statistics Canada. Table 16-10-0045-01  Lumber, production, shipments and stocks, monthly, inactive (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004501
