"Total softwood excluding spruce, pine and fir, production 8","494.5","583.3","614.3","615.6","494.6","493.0","555.4","476.3","380.4","428.8","450.0","577.9","495.2","518.8","618.8","543.9","480.3","456.4","498.9","458.1","421.1","461.6","513.7","658.3","503.1","619.2","616.9","548.2","576.3","571.9","592.9","586.4","439.8","435.1","463.7","637.8","550.9","546.4","574.6","566.9","513.7","504.7","532.4","614.5","435.4","535.6","491.9","601.7","671.2","728.5","672.2","690.9","741.9","717.6","650.2","682.7","455.5","609.9B","576.6B","664.9B","720.1B","770.0B","517.9B","645.1B","502.3B","506.4B","557.5B","492.5B","438.9B","462.6A","496.0A","460.4A","296.7A","428.2A","518.9A","641.8A","615.4A","612.0A","557.2A","530.7A","484.2A","533.7A","517.7A","703.7A","640.2A","567.4A","671.1A","551.8A","502.1A","517.9A","500.0A","617.2A","453.5A","520.6A","551.0A","673.3A","467.4A","613.5A","608.3A","524.7A","565.9A","528.0A","443.0A","514.5A","323.0A","356.0A","380.9A","495.5A","396.9A","443.7A","484.2A","446.1A","340.0A","363.6B","375.9B","422.0A","343.0B","319.7B","389.6B","396.9B","432.7B","474.1B","482.4B","476.4B","440.7B","401.0C","468.7B","441.9B","354.6B","409.4B","374.1B","440.9B","446.3B","452.3C","602.2B","455.5B","410.1C"
"Total softwood and hardwood, shipments","5,006.2","5,196.7","5,496.7","5,207.4","4,881.6","5,097.6","5,348.0","4,694.9","4,628.7","4,669.1","4,703.7","5,486.8","5,437.1","5,407.1","5,742.5","5,119.1","5,163.9","5,592.0","5,881.5","5,435.2","5,182.1","5,206.1","5,449.8","5,672.4","5,517.1","5,684.0","5,744.8","5,204.5","5,538.1","5,814.0","5,646.0","5,709.7","4,778.5","5,202.3","5,050.9","5,714.1","5,675.4","5,733.9","5,633.2","5,288.0","5,452.9","5,555.1","5,568.6","5,429.3","4,657.3","5,115.4","4,760.8","5,257.1","5,662.6","6,158.0","5,622.4","5,421.0","5,818.0","5,262.0","5,512.6","5,170.1","4,225.2","4,933.9B","4,407.7B","5,113.0B","5,201.9B","5,411.3B","5,065.4A","4,587.1B","4,753.5B","4,823.2B","4,886.1B","4,201.5B","4,028.9B","4,289.0A","4,158.8A","4,642.9A","4,282.2A","4,232.2A","4,810.2A","4,628.3A","4,647.3A","4,957.1A","4,916.0A","4,932.9A","4,545.7A","4,678.5A","4,298.3A","5,210.6A","5,314.2A","4,960.9A","4,786.5A","4,166.3A","4,422.2A","4,701.9A","4,478.5A","4,401.1A","3,884.6A","3,861.6A","3,720.9A","4,451.1A","4,230.4A","4,575.5A","4,546.8A","4,261.2A","4,442.4A","4,305.1A","4,203.0A","3,960.3A","3,381.6A","3,681.2A","3,649.4A","4,318.3A","3,986.7A","4,238.7A","4,163.0A","3,710.5A","3,916.7A","3,976.9B","4,373.1B","4,284.4B","3,499.7B","3,862.4B","4,195.4B","4,325.9B","4,209.7B","4,531.9B","4,081.2B","3,867.0B","3,835.1B","3,929.2B","4,441.5B","4,053.6B","3,184.5B","3,800.7B","3,428.6B","4,200.6B","3,955.5B","4,356.1B","4,239.7B","4,055.9B","3,509.4B"
"Total hardwood, shipments","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","78.5B","75.2B","86.1C","71.2B","75.8B","68.7B","58.6B","63.9C","79.9C","84.2C","73.3B","67.3C","75.7A","73.8A","69.6A","51.5A","63.9B","68.8A","53.8A","63.2A","68.6A","79.0A","82.6B","57.8A","64.6B","66.2A","77.8A","74.0A","72.4A","71.1A","46.5A","61.6A","75.2A","63.3A","68.9A","56.5A","59.0A","60.5A","64.9A","58.4A","56.4A","61.0A","48.1A","48.1A","60.8A","54.6A","60.4A","45.1A","54.9A","62.2A","65.9A","56.2A","60.7A","56.0A","50.5A","51.2A","58.1B","57.9B","60.7B","51.1B","56.7C","70.5C","62.8C","63.8C","59.5C","66.3C","59.2C","71.5C","76.9C","78.9C","82.3C","73.7C","68.1B","68.1C","83.9C","73.6B","76.4C","69.6C","52.5B","59.1C"
"Total softwood, shipments 4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,855.4B","4,332.5B","5,026.9B","5,130.8B","5,335.5B","4,996.6A","4,528.4B","4,689.6B","4,743.3B","4,801.9B","4,128.3B","3,961.5B","4,213.4A","4,085.0A","4,573.4A","4,230.6A","4,168.3A","4,741.4A","4,574.5A","4,584.2A","4,888.5A","4,837.1A","4,850.3A","4,488.0A","4,613.9A","4,232.1A","5,132.9A","5,240.2A","4,888.4A","4,715.4A","4,119.8A","4,360.6A","4,626.7A","4,415.1A","4,332.2A","3,828.1A","3,802.6A","3,660.4A","4,386.2A","4,172.0A","4,519.1A","4,485.8A","4,213.1A","4,394.3A","4,244.4A","4,148.4A","3,899.9A","3,336.6A","3,626.3A","3,587.3A","4,252.4A","3,930.5A","4,178.1A","4,107.0A","3,660.0A","3,865.5A","3,918.7B","4,315.2B","4,223.7B","3,448.6B","3,805.8B","4,124.9B","4,263.2B","4,145.9B","4,472.4B","4,014.9B","3,807.7B","3,763.6B","3,852.3B","4,362.5B","3,971.3B","3,110.7B","3,732.6B","3,360.6B","4,116.7B","3,881.9B","4,279.7B","4,170.1B","4,003.4B","3,450.3B"
"Spruce, pine and fir, shipments 5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,326.5B","3,795.3B","4,416.6B","4,483.6B","4,616.5B","4,381.0A","3,950.1A","4,130.8B","4,237.6B","4,274.7B","3,630.2B","3,486.7B","3,769.4A","3,644.3A","4,050.7A","3,811.0A","3,776.2A","4,214.7A","4,020.2A","4,001.6A","4,204.9A","4,245.1A","4,303.7A","3,913.2A","4,101.3A","3,759.0A","4,482.1A","4,547.3A","4,248.7A","4,085.0A","3,561.1A","3,817.5A","4,078.6A","3,949.5A","3,841.4A","3,329.5A","3,295.5A","3,135.3A","3,749.5A","3,631.8A","3,941.8A","3,922.6A","3,681.9A","3,786.9A","3,697.5A","3,659.3A","3,462.3A","2,891.0A","3,224.7A","3,206.0A","3,784.9A","3,482.0A","3,755.3A","3,688.9A","3,219.0A","3,494.2A","3,575.2B","3,915.5B","3,877.7B","3,137.5B","3,424.6B","3,746.0B","3,870.6B","3,741.3B","4,010.4B","3,550.0B","3,331.3B","3,368.5B","3,395.7B","3,925.4B","3,544.6B","2,742.5B","3,318.6B","3,033.0B","3,647.1B","3,489.3B","3,852.6B","3,633.4B","3,491.5B","3,078.7B"
"Douglas fir and western larch, shipments","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","251.9B","217.0A","241.9A","357.7B","342.2A","290.3A","260.6A","231.6A","207.4A","232.4A","215.6A","232.0A","185.9A","204.3A","243.1A","164.9A","120.8B","198.1B","277.0A","286.8A","323.5B","238.5A","229.5A","212.7B","209.9A","168.5A","239.4A","325.7A","314.4A","284.8A","284.8A","204.3A","204.3A","185.8A","221.4A","223.1A","245.2A","244.1A","316.1A","246.0A","263.0A","288.9A","295.2A","360.9A","300.7A","242.6A","224.6A","206.7A","162.2A","128.2A","183.3A","179.2A","149.1A","196.1A","232.3A","189.1A","148.9A","143.1A","144.9A","132.8A","202.0A","164.8A","144.5A","172.9A","198.9B","209.8A","235.4A","188.6A","244.0C","209.9C","178.2C","142.7A","191.5B","138.2B","199.3B","174.6C","190.1C","284.8B","262.0B","192.0C"
"Hemlock fir, shipments 6","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","123.0A","143.8A","160.5A","124.5A","169.0A","x","132.8A","x","130.2A","137.3A","x","x","123.5A","98.3A","x","128.2A","x","x","117.9A","x","x","x","x","x","x","x","x","x","x","x","120.1A","193.6A","211.8A","141.2A","x","x","130.7A","x","x","x","171.7A","151.6A","127.2A","148.4A","146.2A","140.3A","122.8A","149.6B","119.8C","126.3A","143.7A","111.2A","104.6A","103.2A","98.6A","78.0A","87.3A","107.1A","98.2A","86.9A","78.0A","87.9A","114.3A","100.9A","131.7B","134.4A","114.0A","84.8A","103.6B","97.3A","x","x","x","x","135.2B","97.3B","109.1B","120.7B","124.6B","x"
"Western red cedar, shipments","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","108.6A","134.1A","147.6A","124.4A","156.6A","127.2A","137.6A","128.3A","122.9A","113.5A","98.7A","84.0A","x","103.8A","123.7A","98.0A","121.9A","134.3A","126.6A","118.3A","120.0A","116.2A","107.3A","x","115.0A","113.7A","x","130.5A","95.8A","x","122.1A","x","99.0A","102.1A","81.2A","81.3A","87.3A","91.7A","108.0A","98.1A","95.8A","77.6A","67.1A","x","66.8A","x","62.0A","65.8A","76.4B","76.5A","93.3A","114.9A","135.2A","91.0B","77.3A","82.4A","82.2A","122.2A","77.7A","71.8B","78.0B","91.4B","97.8A","90.7B","89.6B","84.8B","93.6B","91.4B","72.6C","96.4B","x","83.9B","102.4B","80.2B","94.8B","79.7B","84.6C","94.8C","81.8B","76.5B"
"All other softwood, not elsewhere specified, shipments 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","45.4B","42.3B","60.2C","40.5C","51.2C","x","47.4C","x","45.3C","44.0C","x","x","x","34.4B","x","28.5A","x","x","32.8B","x","x","x","x","x","x","x","x","x","x","x","31.6A","x","33.0A","36.6A","x","x","43.9B","x","x","x","46.8B","45.2B","41.7B","x","33.1B","x","28.2D","23.5B","43.2B","50.3A","47.1B","43.2A","33.8C","27.8B","32.7B","21.8B","25.2B","27.3B","25.2B","19.6B","23.3B","34.9C","36.0C","40.2E","41.9E","35.9E","33.4C","30.3C","36.3C","33.5E","x","x","x","x","40.5C","41.0B","43.3C","36.4B","43.5C","x"
"Total softwood excluding spruce, pine and fir, shipments 8","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","528.9B","537.2A","610.2B","647.2B","719.0A","615.6A","578.3B","558.9B","505.7B","527.2B","498.0A","474.9A","444.0A","440.7A","522.7A","419.7A","392.0A","526.7A","554.3A","582.6A","683.6A","591.9A","546.7A","574.7A","512.6A","473.1A","650.8A","692.9A","639.7A","630.4A","558.7A","543.1A","548.1A","465.7A","490.8A","498.6A","507.0A","525.0A","636.7A","540.2A","577.3A","563.2A","531.2A","607.4A","546.9A","489.1A","437.6A","445.6A","401.6A","381.2A","467.5A","448.5A","422.8A","418.1A","441.0A","371.2A","343.6A","399.7A","346.0A","311.1A","381.2A","379.0B","392.6B","404.6B","462.1B","464.9B","476.4B","395.0B","456.6C","437.2C","426.7B","368.2B","414.0B","327.5B","469.6B","392.6B","427.1C","536.7B","511.9B","371.7C"
"Total softwood and hardwood, stocks","8,102.9","7,688.7","7,158.9","6,812.6","6,551.3","6,488.5","6,385.8","6,456.0","6,429.0","6,731.1","7,010.5","7,197.5","7,455.8","7,330.4","7,132.8","7,103.8","7,242.4","7,206.6","6,929.2","7,036.4","7,046.9","7,241.6","7,302.5","7,386.3","7,527.0","7,501.1","7,008.5","6,761.6","6,745.0","6,740.8","6,701.7","6,697.7","6,565.9","6,853.7","7,011.4","7,255.9","7,118.0","7,230.9","7,197.1","6,963.4","6,835.9","6,819.2","6,974.7","7,204.5","7,330.0","7,852.8","8,150.0","8,631.8","8,727.3","8,468.2","8,257.4","8,031.9","7,726.4","7,730.1","7,930.9","7,731.9","7,722.2","7,688.0E","7,795.2C","8,112.1C","8,058.8E","7,843.6C","7,547.0E","7,297.6E","7,034.3E","6,639.7C","6,726.5E","7,012.7C","6,914.5E","6,953.3E","7,379.8C","7,597.5C","6,838.7C","6,977.9E","6,959.7C","6,783.3C","6,766.4E","6,828.0C","6,922.6E","6,769.1E","6,665.9E","6,475.1C","6,689.9C","6,968.7C","6,765.1E","6,637.9E","6,710.0E","6,644.5E","6,652.3C","6,479.9C","6,599.6C","6,970.5C","6,864.5E","7,128.9C","7,711.6C","8,200.9C","8,216.1E","8,130.1E","8,022.0C","7,464.8E","7,193.5E","7,157.2C","7,056.2C","7,312.4E","7,141.1E","7,138.0E","7,289.9E","7,706.0E","7,816.2E","7,593.4E","7,131.9C","6,917.0E","7,104.6E","7,274.7E","7,379.8E","7,565.6E","7,445.8E","7,506.4E","7,687.7E","7,721.5E","8,037.1E","7,950.1E","7,803.1E","7,621.2E","7,589.9E","7,555.7E","7,337.2E","6,980.8E","7,165.9E","7,078.7E","7,348.6E","7,047.7E","7,425.3E","7,198.4E","6,814.5E","6,499.9E","6,620.2E"
"Total hardwood, stocks","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","112.3","107.3","104.1","114.4","F","F","F","F","F","F","87.1","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","124.6C","129.6C","137.1C","142.1E","139.3E","133.2E","126.4E","133.7E","126.6E","133.0E","145.7E","146.3E","147.1C","176.9C","F","188.9B","191.2E","F","F","F","F","F","F","F","F","159.5E","162.1D","161.9C","156.9D","157.8D","F","F","F","146.6D","169.8C","165.5D","136.8D","140.0A","148.6B","152.5A","146.8C","151.6B","160.2D","164.0B","172.7C","179.9B","204.2D","217.7E","F","F","F","280.2D","F","270.0D","267.2E","265.2B","272.2E","270.5E","268.6E","271.6E","270.1E","266.7E","257.3E","254.5E","252.2E","257.7E","259.9E","264.0E","261.4E","264.8E","265.1E","277.0E","278.8E","286.1E","191.2E","174.7E","166.2E","165.9E","164.4E","170.1E"
